coin,favor,forward,list,name,thumb,view
82000.0,35000.0,11000.0,"影视,影视剪辑,JOJO,MAD.AMV,魔性,影视剪影,生草,名场面,沙雕,无缝衔接,间谍过家家",哪个鬼才教你这么二创的？！DNA都给我创碎了！,164000.0,1815000.0
37000.0,11000.0,13000.0,"情侣,搞笑,生活,搞笑,高能,逗比,搞笑研究所8.0,沙雕,男友,搞笑表演",秀男友界的天花板！！！,203000.0,2278000.0
113000.0,98360000.0,12760000.0,"礼物,生活,日常,生活,情感,吐槽,教程,分享,自媒体,道歉,工作,生活万花筒·生活记录册",好好同大家道个别吧，我要为小芋圆挣生活费去了,111000.0,922000.0
63000.0,16000.0,13000.0,"情侣,搞笑,生活,搞笑,奇葩,生活,娱乐,高能,恋爱,逗比,搞笑研究所8.0",带女朋友去算命...算了个鬼？！！,129000.0,976000.0
14000.0,17000.0,75060000.0,"搞笑,高能,奇趣,幽默,文喝武喝,擦大哥,文武两兄弟,擦大哥,沙雕,挑战,沙雕视频",⚡擦大哥⚡,156000.0,1716000.0
68000.0,34000.0,23000.0,"梁精寅,Felix,徐彰彬,金昇玟,方灿,韩知城,李旻浩,黄铉辰,StrayKids,音乐,MV,CASE143","【StrayKids】""CASE143""M/V",60000.0,424000.0
26440000.0,92280000.0,76510000.0,"汪星人,萌宠,动物圈,汪星人,动物观察局·心动的信号",再遛遛狗命没了,170000.0,1117000.0
151000.0,1306000.0,26000.0,"科技,软件应用,数码,APP,APP推荐,神器",这五个神器确实强大……,694000.0,4613000.0
98000.0,30000.0,10000.0,"游戏,单机游戏,江湖",王老菊教你断剑奇侠（第二季01）-雷氏侠义传,79000.0,707000.0
25000.0,46170000.0,19920000.0,"日本料理,烧烤,上海,探店,美食,vlog,搞笑,美食,美食侦探,Vlog我的探店笔记,生活,自助,地方美食发现之旅",日本的烧烤有啥不一样？一顿烧烤自助要580/人，到底吃些啥？,66000.0,914000.0
11000.0,38750000.0,8190000.0,"搞笑,枪弹轨迹,哦呼w,才疏学浅的才浅,鬼畜区,六道,鬼畜素材区,鸡你太美",第一次去鬼畜区up家，一不小心露出鸡脚......,77000.0,960000.0
17000.0,24860000.0,9270000.0,"美食,田园美食,日常,生活,三农,华农,乡村美食,田园美食,华农兄弟",华农兄弟：国庆长假，陆陆续续的人来玩，宰鹅宰猪招待一下,78000.0,1003000.0
11000.0,37150000.0,19960000.0,"美食侦探,美食,美食,美食侦探,美食vlog,美食探店",最爱深夜的便利店,77000.0,1112000.0
37000.0,15000.0,68790000.0,"赛博朋克2077,动画,短片·手书·配音,ACG配音,赛博朋克,中文配音,动画,边缘行者,赛博朋克：边缘行者,CYBERPUNK,动画短片群星计划第四期",【丧病中配】如果2077的CV来配音《赛博朋克：边缘行者》（第二话）,55000.0,402000.0
53810000.0,39580000.0,10210000.0,"生活,三农,生活记录,UP主,评论,粉丝,三农繁星计划·秋收季",一百万读评论，但是小羊！,107000.0,909000.0
43370000.0,20000.0,20000.0,"搞笑,生活,搞笑,童年回忆杀,奇葩,童年,山东风筝节,沙雕,放风筝,风筝,重阳节,潍坊,男人的快乐",“风筝可以冷门，但不能邪门”,100000.0,1668000.0
52070000.0,25000.0,29010000.0,"美食,美食,美食测评,测评,烤肉,干货,平价,省钱,快餐,学生党,经验分享",平替中的平替，省钱攻略战斗机！,45000.0,604000.0
17380000.0,36900000.0,15720000.0,"粤语,搞笑,生活,搞笑,生活,广东,郭嘉峰,搞笑研究所8.0,假期,粤知一二",广东人放假有多忙？,114000.0,957000.0
5340000.0,79210000.0,47050000.0,"健身,运动,健身,疫情前后,训练,肌肉,疫情",被疫情偷走的时间，被我抢回来了。,84000.0,848000.0
38000.0,14000.0,15360000.0,"手工,DIY,科技,数码,数码,科技,自制,西昊Doro-S300,车,西昊,人体工学椅",自制电竞车？户外全地形畅玩3A！感受随时散架的刺激！【科技达】,70000.0,386000.0
31280000.0,58570000.0,60960000.0,"穿搭,生活,搞笑,颜值,帅哥,明星,帅气,小哥哥,哥哥,男神,高富帅,校园星发现",爱运动的小哥哥一枚吖～,92000.0,784000.0
